X,Y,Z,Energy
1505,174,298,58401
1505,174,222,46139
1695,1125,941,385242
934,-364,341,34326
-934,1315,137,505141
-364,174,406,176544
1505,934,976,103456
-934,174,742,513323
1505,174,982,51938
2076,-1125,981,173790
554,-1695,986,53036
1125,-786,408,189373
1505,174,904,58931
1505,174,680,96775
1505,174,438,43358
1505,174,786,81903
1505,174,597,43862
1505,174,255,57076
1505,174,744,42345
1505,174,979,46992
1505,174,660,64610
-934,364,83,221208
2075,1505,201,367854
1885,-1315,386,457197
1505,174,997,63066
1505,174,769,59270
1505,174,878,73381
174,-1695,721,184604
1505,174,951,80114
1505,174,978,42294
-934,1505,310,189814
1695,-1695,323,151036
1695,-1505,239,75908
-1695,554,795,230884
554,934,314,146689
174,1125,117,75604
-2076,934,555,112932
-2076,934,326,655052
2076,-554,926,108864
1885,-364,329,34329
-1125,2076,142,64326
1584,-419,837,150226
1505,174,986,67517
1505,174,977,61582
2076,-2076,305,111597
-554,1125,295,63407
1505,174,989,46003
1885,500,536,655125
-1125,934,78,352445
1125,744,167,57024
-1885,1125,310,193789
174,-1315,979,52805
934,-174,85,77026
245,-364,156,221554
1885,-816,225,279428
934,-2076,428,173062
1885,934,316,129132
1505,174,992,65292
1505,174,977,74441
1505,174,994,69743
1505,174,994,75925
1505,174,991,65292
1505,174,985,79882
1505,174,977,74441
1505,174,997,50949
1505,174,981,64303
1505,-554,728,92656
1505,174,999,76667
1505,174,796,69925
1505,174,793,87282
1505,174,694,88466
1505,174,957,80114
1505,174,848,92284
744,744,190,227803
1505,174,520,87863
1505,174,973,59291
1505,174,752,43842
1505,174,581,74242
-554,1885,676,431159
1505,174,930,80799
1505,174,991,50702
1505,174,103,49535
1505,174,291,61673
1505,174,543,52706
1505,174,486,42031
174,-2076,978,210986
1505,174,877,62375
1125,554,550,176072
1505,174,983,63808
1505,174,817,64609
1505,174,587,77672
1505,174,981,45508
1505,174,975,50207
1505,174,991,68506
1505,174,995,50949
1505,174,976,57873
1505,174,990,85322
1505,174,989,57626
1505,174,984,57131
1505,174,979,55153
1505,174,981,67270
1505,174,991,47734
1505,174,986,54658
1505,174,993,58368
1505,174,999,55647
1505,174,990,100160
1505,174,979,71721
1505,174,990,67765
1505,174,990,93730
1505,174,976,64303
1505,174,987,45508
1505,174,996,41799
1505,174,992,41552
1505,174,997,41552
1505,174,990,42541
1505,174,986,44519
1505,174,996,42294
1505,174,980,41799
1505,174,998,41799
1505,174,985,41799
1505,174,980,41552
1505,174,997,43036
1505,174,988,42788
174,1695,994,61057
1505,174,994,43777
1505,174,989,46745
1505,174,986,41552
1505,174,984,42046
1505,174,976,43530
1505,174,977,42046
1885,-364,504,33174
1505,174,982,42046
1505,174,995,42788
1505,174,993,43283
1505,174,975,42046
1505,174,993,42541
1505,174,992,42046
1505,174,986,41799
1505,174,986,41799
1505,174,983,44767
1505,174,990,42541
364,-1125,302,162718
364,2076,995,193388
1505,174,992,41552
1505,174,993,42046
1505,174,987,42046
554,-1695,241,415799
1315,1505,982,274840
1505,174,980,43283
1125,-364,952,112664
1505,174,987,42541
1505,174,993,44767
1505,174,990,80871
1505,174,999,86064
2075,1695,988,158622
1505,174,986,75183
1505,174,985,76914
1505,174,999,44767
1505,174,998,43530
1505,174,975,42541
1505,174,995,41799
1820,-1125,983,608664
1505,174,980,43530
1505,174,988,41799
1505,174,992,42294
1505,174,997,43530
-364,-934,995,12550
-1695,744,77,43249
-869,744,457,667679
-364,2076,680,147774
-1885,1885,394,338654
1885,-364,345,34092
-1505,1695,79,68166
1125,1125,989,190416
1505,174,996,43283
1695,-554,100,74167
1885,-364,412,32889
1885,-364,677,33443
1885,1695,996,489823
-2076,2076,741,448079
1125,-1537,265,451283
744,1125,981,93515
554,744,986,184977
-1505,-744,980,26188
364,1505,978,218636
744,-364,102,58108
-554,744,381,163352
1695,174,986,300868
-744,364,833,240530
2076,-1885,850,106859
1505,174,989,105353
1885,-1885,296,382094
-2076,554,943,105165
-1125,1420,664,413065
-554,1125,305,167574
744,991,967,356448
1442,525,649,626991
1885,-364,111,41369
1885,-364,411,34064
-174,1695,121,61030
607,-1915,448,629508
1885,-364,157,35478
1885,-364,238,34518
1885,-364,196,35722
1695,174,96,99439
364,174,485,32962
1885,-174,65,78043
1125,-2076,943,160194
-934,554,312,473238
-1999,1315,374,659397
-364,1505,674,174696
-1505,174,532,242935
-364,1505,274,319211
364,1885,278,181196
1505,174,185,61910
554,-934,130,180084
1505,174,368,49378
744,-1505,996,281386
1315,934,998,32922
1315,1885,989,166690
-744,1505,572,175867
-2076,1505,232,208586
2075,1885,980,161451
554,774,401,392580
-934,554,917,660887
934,-2076,840,345358
-1885,1315,687,76459
1505,174,89,51435
1505,174,96,48835
1125,-174,796,397551
174,1695,115,197748
-744,1315,550,149885
-1077,691,887,231198
-1125,1695,907,212509
-2076,1419,111,775917
-934,1505,291,666289
1259,-554,947,658553
1315,-174,491,192004
-2076,2076,417,141195
1505,174,93,52013
1505,174,97,49123
174,1505,563,133143
1315,554,853,261304
1315,364,978,144288
744,-2076,642,248970
934,-554,722,69887
554,934,641,657152
871,554,441,662091
-554,2076,81,80906
364,-1315,912,456028
1885,-934,351,237141
174,-285,186,701068
770,-174,934,435692
934,364,728,124571
-2011,1505,718,659781
364,1125,108,179064
1885,-364,409,33124
-554,554,78,192022
744,1125,341,104021
1885,-364,727,33674
364,744,528,97136
554,2076,993,208385
2075,934,578,499811
934,1708,867,1197619
-364,934,483,46130
-2076,1315,281,36076
-2076,2076,995,81695
1885,-1885,821,218399
-1695,554,612,131307
-554,174,543,39144
-1315,1659,945,281934
-744,-364,997,14947
-1695,2076,268,36188
-2076,364,954,322773
1885,1505,341,233535
364,-554,73,147884
1885,1885,415,97653
554,1125,997,199499
-934,364,274,418076
-364,-934,985,12802
-554,934,105,103247
-934,1315,806,133160
-174,1315,474,57613
364,2076,843,77405
744,-1315,537,146665
364,-2076,621,278998
554,-934,992,276983
-174,364,366,207686
1479,1695,557,641543
1125,-1125,145,165593
-2076,364,261,125853
364,934,387,185748
364,-174,297,162567
1125,1695,588,453436
-1125,1885,249,299030
2075,2076,982,662320
-934,1695,973,657816
744,-2076,103,69863
1125,-1505,521,364310
1695,-1695,796,37671
-174,1505,188,526226
1505,1125,488,359730
-1125,934,116,177264
1315,934,976,34632
-1695,744,732,78517
2075,1695,143,167011
1534,1953,987,434647
-1125,934,755,282171
744,-1505,957,225033
1885,-2076,944,127677
1695,1315,271,34298
-1885,1885,681,175328
1885,-364,243,33788
394,174,323,297902
1505,-174,103,603857
-744,364,967,464256
1885,-364,423,33124
1885,-364,438,39364
1885,-364,180,35974
-1550,744,872,210179
1885,-364,344,36934
1885,2076,165,490734
1885,-364,338,33381
1125,1125,656,155591
1885,-1695,768,467834
1885,-364,462,33229
1695,-174,921,143224
1505,174,955,41653
1505,174,554,41184
1505,174,714,41363
1505,174,99,48835
1505,174,92,48546
-554,1695,483,68185
1315,174,100,252924
-1885,1315,823,103508
1125,-1505,925,446886
-1125,1125,356,153532
744,1885,995,330311
-1315,364,120,254398
1885,934,522,66920
744,174,558,430056
1695,1695,947,453148
1505,-1885,996,379947
1885,1885,134,225219
-934,554,79,192446
-2076,1695,269,193767
-1885,934,80,138942
-1718,364,839,676000
-744,1885,115,160334
174,554,634,418858
1505,174,275,50598
1885,-1885,806,372500
934,-1885,186,604818
1885,-364,574,33118
1885,-364,240,36220
364,1695,145,120253
1505,174,975,43283
1125,-364,301,245273
1315,1885,122,45605
1885,-364,734,34604
-744,2076,196,290797
1885,-554,778,192878
934,554,705,197588
-1125,1885,870,413972
364,1315,589,263959
